"logFC"	"logCPM"	"F"	"PValue"	"FDR"	"rank"
"YBX3"	0.310298382874928	7.946535106123	73.7448259774399	0.00010781220824153	0.00230647952010208	-3.96733205852097
"NAAA"	0.822555861139722	5.24276404551769	209.274502477014	0.0001111604534731	0.00237109510048373	-3.95404969021004
"NPR3"	1.22913626100483	4.23144067171944	287.308969369808	0.000113134361094268	0.00240964525794595	-3.94640547140322
"CLIP1"	0.263956801560993	8.39797314203405	64.4265436494936	0.000113804579188894	0.00242035562386733	-3.94384026275239
"DOCK8"	0.59981206906437	6.07306510435336	136.599245424753	0.000124000531806998	0.00263332700586315	-3.9065764522543
"AMOT"	0.952292887086863	4.84365702089123	155.359383676204	0.000124725976427164	0.00264484907784405	-3.9040430874668
"EIF2S3"	0.347609197311543	7.59576552570711	68.871784201783	0.000126006178000668	0.00266470486254408	-3.89960816118542
"ADAM15"	0.315331274830244	7.87210838883213	59.502064341419	0.00012603084815241	0.00266470486254408	-3.89952314105194
"RMND5A"	0.305785764485086	7.95018903758873	73.0529019586434	0.000132819188212845	0.00280413299260462	-3.87673917848476
"SERBP1"	0.222961896956886	8.84733509293468	38.4696927810377	0.000136554491575176	0.00287042304819795	-3.86469401039622
"CHRNA2"	1.95519853530305	3.21200779571168	252.329858732548	0.000139759810648502	0.00292928461101251	-3.85461769642214
"PPAT"	0.478779245782462	6.66999576119152	97.6716695099836	0.000143749740020562	0.00300420338175921	-3.84239293208346
"SGCZ"	1.17197279188808	4.3045356732699	224.876118822656	0.000144211220393173	0.003008340845617	-3.84100094790186
"CDH17"	2.01163813393303	3.15531160490623	320.433722030275	0.000144363749609888	0.003008340845617	-3.84054184638438
"CHD3"	0.37645031413875	7.34473213242537	94.6264304236503	0.000144576031046583	0.00300842958416646	-3.83990370183436
"F3"	1.41205708767829	3.87080910114288	285.965162325066	0.000145900869257145	0.00303163559080005	-3.83594212063255
"HEATR1"	0.361357371049475	7.45795746154593	73.8487474826672	0.000146582675337327	0.00304143278440234	-3.83391735609335
"RPS4X"	0.20276656977763	9.80196485067934	22.2627971632878	0.000147990926605496	0.00306625326729039	-3.82976491059126
"ELP5"	0.416733052114581	7.05297770113374	99.0071957714913	0.000148499926188218	0.00307239761449787	-3.82827376221248
"IL17RD"	1.02660897797527	4.61758876666966	193.161673332897	0.000153942054625151	0.00318044284855562	-3.81264272132071
"RPS5"	0.212651821851136	9.78401226329914	22.0237578399264	0.000156741232664055	0.00323365436060994	-3.80481674212155
"TMEM164"	0.901308868215806	4.94204815777087	206.466382672435	0.000158993329677799	0.00327544378034235	-3.79862109545874
"GJB1"	1.54679249335544	3.65656125619509	301.644591296304	0.000160745811762294	0.00330683631537169	-3.79386033381413
"TRIM47"	0.821352143839306	5.17952107416271	165.482287583506	0.00016252635603775	0.00333871613780958	-3.78907620173977
"PLEKHB2"	0.324883717114425	7.73690327466554	66.715626099383	0.000165411541591759	0.00338356678147104	-3.78143419082496
"ABCE1"	0.383963548892575	7.26307499569184	68.3996106072524	0.000165915627256432	0.00338908446522954	-3.78011270673268
"SMARCD2"	0.314876905020312	7.82201463125316	67.2729377090638	0.000168671941213184	0.00344052695885059	-3.7729571568287
"FKBP10"	0.472467330295684	6.67681643879306	110.746406748982	0.000169060554519348	0.00344359681613916	-3.77195771087026
"RPL13"	0.242414528370783	10.1979016915232	21.6901355036263	0.000169927060705594	0.00345637855404263	-3.76973745468425
"TENT5C"	1.3023680593082	4.02803279320506	219.558340855621	0.000170619338684685	0.00346558550008135	-3.76797174568867
"SCD"	0.325541229407596	11.2628390144532	21.6347882740081	0.000172231154744704	0.00349049440341276	-3.76388828662283
"RPL26"	0.21215669019424	8.94480487279347	31.8322817958169	0.000172351683312037	0.00349049440341276	-3.76358447059918
"TSPO"	0.469122871206328	6.69263517854634	84.6959381292842	0.000172569734368699	0.00349049440341276	-3.76303536939269
"RPS6KA3"	0.500232566252771	6.51101479757887	118.680186187306	0.000175218315106535	0.00353080887329838	-3.75642050014296
"SIPA1L2"	0.522533287806138	6.38992509455017	124.288617830292	0.000175240141585475	0.00353080887329838	-3.75636640460499
"DKC1"	0.431098106814287	6.92608322505672	96.8009932965077	0.000175760981782561	0.00353526469894213	-3.75507753015697
"FTO"	0.54846330571098	6.25463737505818	123.435358834371	0.000176387389240057	0.00354293669887459	-3.7535324678393
"MDH2"	0.225830196930427	8.75101209569266	42.7951017117269	0.00018651507910077	0.00372052561924875	-3.72928605122512
"RPL21"	0.260057309126313	8.346723565658	47.4043785304799	0.000187691447662518	0.00373883431969054	-3.72655551596467
"TNKS1BP1"	0.434087991153865	6.89054349256095	112.527986597588	0.000191281797413519	0.00380511327949699	-3.71832635594756
"FGFR4"	1.25558849644454	4.08697330195807	235.817883839235	0.000198339453359364	0.00392929475956593	-3.702590888054
"WDR24"	0.616865692722196	5.90505764510676	116.247409908849	0.000203393751966795	0.00402391305190669	-3.691662392259
"RPL4"	0.298365412245677	11.0989734609575	20.8507862846494	0.000208876770255767	0.00410989911760394	-3.68010985638495
"RPL18"	0.193630164426364	9.58465651987177	20.7663645970284	0.000213312429761001	0.00419147331413532	-3.6709838373807
"EPHB3"	0.909136237320673	4.86500217628235	177.232490526785	0.000215147834637348	0.0042218018785961	-3.66726302053092
"GOLIM4"	0.391370627644057	7.15852707776026	60.7239767281547	0.00021593180193753	0.00423144406452651	-3.66568339106606
"RPS6"	0.2728291720519	10.8876861813228	20.704252849326	0.000216642517816147	0.00423962664770922	-3.66425630560156
"AKR7A3"	1.39571134227745	3.82815261236825	265.278027901129	0.000219959595216407	0.00429292262620739	-3.65765708820566
"RPL41"	0.352331641164115	7.45011314737574	55.167119622464	0.000221842087400421	0.00431800843604965	-3.65395605696148
"RPS25"	0.209820941444762	8.92723142531169	31.4434700113782	0.000223434403952484	0.00434315638435594	-3.6508499543344
"TBRG4"	0.369540479000466	7.31116854095296	68.6264436725199	0.000226382166425798	0.00438896828240963	-3.64515778829615
"CCT2"	0.198804863143581	9.29329746944847	20.528208809778	0.000226398170286101	0.00438896828240963	-3.64512708736831
"PRKCD"	0.997811476910287	4.61604948100385	225.672901755449	0.00023102815894196	0.00446078669508495	-3.63633508275809
"LPP"	0.49211729211351	6.49961216900825	118.282663347497	0.000235605622340596	0.00454310468038627	-3.6278143500379
"ONECUT2"	0.52977068447213	6.29395477808061	70.2545626338061	0.000236896515400144	0.00456191398897055	-3.62544132743097
"VDAC1"	0.321122130137878	7.69713516462122	69.1162073610515	0.000240712428432431	0.00462923289892263	-3.61850148571052
"KLKP1"	2.05948496965505	3.03554164066192	290.920143262083	0.000242663798295488	0.00465438176518481	-3.61499500888933
"RNU5E-1"	1.18060802697431	4.18798829006508	151.373321159655	0.000254088742808488	0.00486706145496205	-3.59501457558109
"TMED2"	0.193173546433584	9.13872074006503	25.306720398065	0.000254870662339519	0.00487139157974944	-3.59368015243712
"RPL37A"	0.230090573888875	10.3419138332091	19.9539508693546	0.000261765492207263	0.00499426457559557	-3.58208760580567
"NRXN1"	1.24108509433313	4.06286591206886	175.388544458416	0.000265103061375543	0.00504463220212251	-3.57658525706197
"PPFIA3"	0.431212781271136	6.8418390197578	99.9689869507946	0.00026972835207924	0.00512590200758209	-3.56907340095385
"KLF4"	0.916352661332747	4.80149853585603	189.23650994918	0.000271188526760602	0.00514105892142592	-3.56672868821929
"IGF1"	2.17644611751286	2.9244582251873	274.605981161192	0.000271236893724794	0.00514105892142592	-3.56665123791952
"SLC22A3"	1.33843774590822	3.88534106603721	275.094890465464	0.000271598828588416	0.00514118096733726	-3.56607210750893
"CPLX2"	1.04428962622906	4.47060334705758	213.56440166054	0.000275086701392273	0.00520039722292163	-3.56053040434516
"CLDN11"	1.88422915712022	3.17544236162554	242.19004194176	0.000276227327530678	0.00521514309497215	-3.55873335831101
"ASNS"	0.298063896507455	7.87889180176593	60.4260779616277	0.000279846701264294	0.00527658799698074	-3.55307980803957
"RAMP1"	0.3219906272838	7.65509871005547	71.5322754512483	0.000285547757128463	0.00536310605661276	-3.54432124670761
"NLN"	0.541169408585012	6.19595069054023	135.449509458584	0.000288843993975579	0.00541797904134219	-3.53933665845105
"KARS1"	0.328970666279072	7.59015059884544	53.2358703232052	0.000291256585715476	0.00545615640235391	-3.53572424585415
"NHSL1"	0.723198996905593	5.40529755455479	116.795242017399	0.00029293912626761	0.00547616325482946	-3.53322261811941
"VCAN"	0.926866743712903	4.75763285154206	200.829912427449	0.000293081894567695	0.00547616325482946	-3.5330110097165
"ZG16B"	1.07044657017799	4.39160467203897	217.774675846118	0.00030324084390911	0.00565866978659812	-3.51821230340378
"RPL14"	0.183694756932521	9.2460271443264	24.1093686850451	0.000306135742958921	0.00569066210112072	-3.51408596127625
"CRACR2B"	0.583442781857893	5.97619307540975	126.91697669139	0.000308106845184949	0.00571995018621917	-3.51129865289037
"IGFBP5"	2.13497187676706	2.93639342943952	260.194841377445	0.000309418961958187	0.00573694490748628	-3.50945307518265
"ENTR1"	0.58632786059475	5.95897025158808	142.314889603176	0.000313899846457398	0.00581257308510484	-3.50320889673297
"TARS1"	0.274103002376697	8.09305373641227	54.3026867343673	0.000315194690600863	0.00582908646479498	-3.50142110673505
"RPL23"	0.209218989226934	10.1277028098517	19.2022016794684	0.000317657746784806	0.00586713452618373	-3.49804054897072
"COA3"	0.472943763480864	6.5485932643288	116.979492501078	0.000320693029716001	0.00591564106601124	-3.49391047938798
"RPL22"	0.323451186656913	7.61668872721212	80.6902026821802	0.000323529258881825	0.00596035686872478	-3.49008643710867
"REPS1"	0.409323818260038	6.95094905152705	100.947171217351	0.000324095189406033	0.00596139389607774	-3.4893274152187
"ITGB5"	0.377204570198464	7.18063280381797	72.9377252471504	0.000324409970696528	0.00596139389607774	-3.48890580627365
"ISOC2"	0.377678250304811	7.17444239149816	60.2842867503359	0.000328759950932304	0.00603366295733882	-3.48312109304337
"RPL29"	0.21025544297592	8.8399459251646	36.8521395614661	0.00032964133983757	0.00603452285662144	-3.48195832932468
"ECH1"	0.378623597390619	7.16279262198766	95.4681177538126	0.00033644262109106	0.00615114941560319	-3.47308899226721
"HNRNPC"	0.187871900148862	9.51819097791875	18.9772714304836	0.000336862836202304	0.00615114941560319	-3.47254689914813
"RRP15"	0.382804719446975	7.12778431881492	69.7989356145746	0.00034304084658671	0.00624818227120529	-3.46465416453147
"CHRM1"	1.50164148539079	3.59008908405296	243.440533825715	0.000346430180420066	0.00630197895501257	-3.46038427999493
"ALDH1L2"	0.541664835640115	6.15068798155184	133.444651286362	0.00035670604310937	0.00647262584121418	-3.44768953303108
"CARNMT1"	0.491083326748942	6.42125104686938	100.140175404831	0.000357894408806345	0.00647793359218694	-3.44624508630829
"RPS19"	0.228492369260943	10.326028813494	18.6464033006191	0.000367494622675481	0.00663509017869264	-3.43474901129938
"MIR663AHG"	0.53104468048027	11.010138515278	18.523751538686	0.000379624014661337	0.00683701432133531	-3.42064632231161
"SLC17A4"	3.01688630005464	2.4117969177254	288.017492606766	0.00038072868950935	0.00684838097970674	-3.41938439603527
"RPS4Y1"	0.253541837138388	8.275078070042	44.5511956896521	0.000382244226659768	0.0068585844872259	-3.41765906536297
"SNHG16"	0.517063718491646	6.26470829605371	123.693081470428	0.000382244440375057	0.0068585844872259	-3.4176588225461
"VARS1"	0.353548347891829	7.32854672001898	76.0703753243666	0.000384000815005223	0.00688156107386065	-3.41566785388274
"PON2"	0.438056272177028	6.72483326560567	104.055119694131	0.000384901027333374	0.00688915675407829	-3.41465092973518
"SELENOP"	0.942448253881349	4.6614301983307	150.563805497946	0.000386877538150592	0.00691597398854619	-3.41242648439204
"BEND4"	1.43628651149257	3.66296727910949	227.313017766673	0.000393035484044841	0.00701738169167469	-3.40556823886324
"AFF3"	0.335649015701135	7.46904929066715	48.2935986115822	0.000396775951074865	0.00706515974639035	-3.4014546586751
"MRPL3"	0.355349962639721	7.30731709620734	71.455278125641	0.000396940231699825	0.00706515974639035	-3.40127488113882
"ARHGAP18"	0.788756149960219	5.11492417190018	171.358071482106	0.000397177076048635	0.00706515974639035	-3.40101582571765
"RPL6"	0.185589947458015	9.7660289194988	18.3431584264717	0.000398299197426873	0.00707641645354721	-3.39979056869344
"NOP2"	0.464460169589503	6.55230406593554	90.819951535802	0.000401730356828715	0.00712861892080598	-3.39606534948549
"IRS1"	0.907482226562202	4.74946841643607	198.760957231882	0.000402696995075259	0.00713701463575784	-3.39502161108565
"EIF3D"	0.287485881452356	7.89658209548402	66.1153215454694	0.000420520433183309	0.00744377785152634	-3.3762128968859
"WDR17"	0.34845523051146	7.34674176644165	72.0542843371954	0.000427922565058314	0.00756554539837816	-3.36863481185231
"TMEM184A"	0.674856133270051	5.51372743880708	163.04779897091	0.000428462931930021	0.00756584972108909	-3.36808674469667
"NR1H4"	1.71630867285118	3.27782656786884	236.359819241917	0.000434107536878119	0.00765617463211141	-3.36240267397203
"IPO5"	0.213405928493866	8.73705303426497	39.9996984153003	0.000441862055882153	0.00778344586134921	-3.35471329110241
"ATP5MF"	0.25700438106197	8.20461962539418	52.9920622604817	0.000443158432494314	0.00778762155942912	-3.35344098245149
"RAB3B"	0.966613227195794	4.57047418311603	146.359385515273	0.000443714573708311	0.00778762155942912	-3.35289630674173
"RPL27A"	0.205525174427918	10.1432202136082	17.9267893856254	0.000445361120563382	0.00780704548556077	-3.35128769898089
"TLCD1"	0.614601022649026	5.75592687142051	143.640476849518	0.000450790236902675	0.00788916263774606	-3.34602549836065
"RPS8"	0.235497815839242	10.5981802034791	17.8790774004363	0.000451136599461761	0.00788916263774606	-3.34569193836558
"NLGN1"	0.622769241725158	5.71485572623987	117.003171679597	0.000461896095432915	0.00805783031622535	-3.33545570897906
"INHBB"	1.1296596050636	4.17991520741819	219.843799477313	0.000463877937941689	0.00807292748316812	-3.33359628205772
"SEMA6A"	0.407639149749765	6.88623583319691	54.139620787344	0.000465287313325461	0.00808772250638561	-3.33227878891926
"SNX27"	0.371595894473133	7.1430591027371	75.7973387628113	0.000473665839923124	0.00822347584269894	-3.32452793481571
"GUCY1A1"	1.063229110591	4.32160366726605	222.867979085015	0.000474633625605117	0.00823039747422206	-3.32364149726607
"RASSF3"	0.678396425607334	5.47766975226673	146.11221534055	0.000475934790748675	0.00824307657940999	-3.32245254719135
"FERMT1"	0.829678581103426	4.94477068764729	128.21883317147	0.000478703460693175	0.00828111178055586	-3.31993343285957
"HMG20B"	0.287007733461123	7.87146383080594	62.604332267039	0.000482537668510207	0.00833490578026328	-3.31646877851173
"GATD3"	0.375671007518591	7.10802811623247	78.9945787899016	0.000482965775401786	0.00833490578026328	-3.31608364374285
"RASEF"	0.536114960316395	6.11455743154442	134.538277357596	0.000484734420937119	0.00835545792084935	-3.31449613997957
"GSTA4"	0.550185796179499	6.0408150453031	122.082298019828	0.000490200752131125	0.00843962294919086	-3.30962602673113
"SERF2"	0.205562339199876	8.8154742621142	23.7327541238134	0.000495435683310737	0.00850930246143614	-3.30501271695314
"MYO1C"	0.276484374720293	7.9652815144619	63.3216598820825	0.000511288036025871	0.00875058884852799	-3.29133436950451
"AOX1"	1.6777124130487	3.29297194198939	225.21399396764	0.000513238293844779	0.00877358416735603	-3.28968094741591
"GLO1"	0.197374647613247	8.92296523297416	20.9939618969575	0.000529088582785416	0.00902320646726731	-3.27647161001735
"NIBAN1"	0.832029411977592	4.91527445631295	186.686618911562	0.000532605428711397	0.00906181142355791	-3.27359441122155
"GABRE"	1.26662458160708	3.88426850718557	244.289140107495	0.000536315163998646	0.0091142067000569	-3.27057992344
"SGK2"	1.14192218259892	4.1204074909765	238.233153643759	0.000550356823943053	0.00934185491533383	-3.25935564428342
"AAK1"	0.970909108741208	4.51423505283396	64.9567410019791	0.000554105621073393	0.00938346076342319	-3.25640744415741
"SEMA3C"	0.658838581549887	5.52329277970762	138.008696997012	0.000555578141516597	0.00939739307907956	-3.25525484933735
"TIMM8B"	0.544038643821749	6.0409107022921	117.456657839251	0.000564912020027634	0.00954410938509305	-3.24801918437832
"RPS20"	0.183692134721463	9.11440640939034	23.0713081957016	0.000566085124034563	0.00955276903592515	-3.2471182576478
"RPL3"	0.236852242757518	10.7112325494804	16.9621948834288	0.000579956710462071	0.0097640674583265	-3.23660442214238
"CBS"	0.366965475454774	7.1333239324763	78.571540645748	0.000581448914803317	0.00977780721614601	-3.23548843569669
"CUL4A"	0.324942678485854	7.47505624088962	67.91746854881	0.000587340785473854	0.00986008022080312	-3.2311098403094
"THOC2"	0.325321012318826	7.47152349938032	72.0723664973146	0.000587704961300808	0.00986008022080312	-3.23084064303331
"DPH2"	0.55637964361883	5.9699252685926	115.45506206151	0.000589661163526707	0.0098814365549516	-3.22939747493793
"FAH"	0.739491282719516	5.19687861290542	142.918145748054	0.000604524932732681	0.0101187958069213	-3.21858578260317
"PRR15"	0.610119817679489	5.70906060503916	128.064035892887	0.000614590155439879	0.0102708876187156	-3.21141440059181
"UQCRC2"	0.261005789987009	8.08802804626601	59.3487382690175	0.000615031716070233	0.0102708876187156	-3.21110248786827
"CTDSPL"	0.286694366723562	7.81891005585903	65.2853621467602	0.000619577932171926	0.0103229678053806	-3.20790405912884
"DPP4"	1.88007365221472	3.04299844081642	262.73735809291	0.00062341273437488	0.0103749078993435	-3.20522433068886
"ENC1"	0.696722034850602	5.34759915993624	141.585820455247	0.00062585724157511	0.0103916732808946	-3.20352471833376
"RACK1"	0.231211678448554	10.5930534173724	16.6265499142827	0.000636925613162401	0.0105633236439847	-3.19591128615684
"FMOD"	2.03165143500092	2.90146062027741	235.957926723312	0.000642633171594537	0.0106457742584195	-3.19203686068826
"FRK"	0.605250957189385	5.7203046248898	108.197196040783	0.000644516882953874	0.0106647633424244	-3.19076570192939
"OPHN1"	0.9058665827795	4.65675365837106	199.701464443298	0.000645502737402903	0.0106688692437952	-3.19010191166796
"TRPS1"	0.49910500722562	6.24696260007807	102.908884852292	0.000652241970991155	0.0107679490690343	-3.1855912583001
"OGT"	0.272477427755716	7.95151728783957	62.563536935753	0.000653618578600049	0.0107783715891835	-3.18467561181712
"CTAG2"	0.423473883592377	6.69753304450653	54.759429261344	0.000672425350203889	0.0110632712339575	-3.17235592217169
"POMGNT1"	0.331647976817502	7.38576360079157	69.9083191853024	0.000674358859689165	0.0110698953789157	-3.17110893238535
"SLC1A3"	1.43976016096011	3.55426575682141	205.658175361466	0.000682625465913449	0.01117156058711	-3.16581751403659
"UGT8"	0.550318965492822	5.96721879045787	110.585921130297	0.000682869558775082	0.01117156058711	-3.1656622469985
"RAN"	0.176539470844641	9.1834556665399	18.1859852794313	0.000684375455506315	0.0111835455791326	-3.16470557442216
"SLC7A5"	0.754464245794494	5.1149867418295	98.0080392868381	0.000690308571924974	0.0112677681345135	-3.16095673371498
"NR5A2"	1.43959996703147	3.55067032360525	164.815601744255	0.000696205806337557	0.011340405917284	-3.15726235903242
"TMEM62"	0.531248458958275	6.05979872139891	116.741597058416	0.000696326957166931	0.011340405917284	-3.15718679149363
"EIF4A2"	0.216322245648012	8.59530724851517	45.9578264231388	0.000698963515830683	0.0113705403441432	-3.15554549276209
"TCP1"	0.213125482841843	8.63533088926607	40.4938184427889	0.000706681018428655	0.0114831695376575	-3.15077657375165
"FRAS1"	0.554707407105309	5.93597676260321	98.0770020113683	0.000712566778552194	0.011565814535827	-3.14717442928754
"AP1S1"	0.325116483188542	7.42815575177454	63.9511178179648	0.000716458745200309	0.0116159488487521	-3.14480881189285
"UTP20"	0.36166068124203	7.12168294134801	76.4039467630567	0.000733014243206709	0.011869564792293	-3.13488758649669
"DESI1"	0.48051950914325	6.32210913498286	113.069245888227	0.000744399215736975	0.0120284932491487	-3.1281940930927
"SLC19A2"	0.454758578521719	6.47001828275451	88.9571894618862	0.000761757846169718	0.0122952477358331	-3.11818306381266
"NAPEPLD"	0.566759927430283	5.85768046703296	98.1195152076539	0.000775694493929982	0.0124721251047192	-3.11030929127376
"PDCD11"	0.416102936123895	6.70239181024436	98.6159700927153	0.000815785835579722	0.0130219588897946	-3.08842383957172
"EPRS1"	0.16290348374994	9.35532411573515	16.5752133920661	0.000856812970130798	0.0136017883359293	-3.06711396793063
"YARS1"	0.335613623954998	7.29492757512632	71.4987729537563	0.000861780535856899	0.0136656470499589	-3.06460331909588
"TMEM45A"	1.50285275147569	3.4179420159504	219.460613196583	0.000863991768671171	0.0136707319021034	-3.06349039506476
"CYB5D1"	0.575252776944336	5.78833709092546	133.106099031958	0.000878367255278125	0.0138830024544615	-3.0563238626903
"ETFA"	0.284174725911282	7.76007541683582	48.6904253333869	0.000887691582524006	0.0140150607712469	-3.05173789826853
"KIF16B"	0.429136852958133	6.59487747896736	65.3819498429271	0.000891967408391534	0.0140672111888314	-3.04965101402556
"GDI2"	0.230446165866647	8.35476634879464	48.3726730654911	0.000899293752036179	0.0141673052744523	-3.04609842389515
"SSTR1"	1.55207742061903	3.34245173852867	187.882124623525	0.000906123564308274	0.01425936777696	-3.0428125753495
"SFN"	0.281871864354342	7.77452123203463	52.8138928050626	0.000920122557108118	0.014448221955372	-3.03615432229481
"PRDX4"	0.383037296731336	6.9053646727779	69.9975722501412	0.000923626512176621	0.0144875126020589	-3.03450360939848
"A1CF"	1.17586634224909	3.94416674627749	191.608319508269	0.000926903409693601	0.0145060082439476	-3.0329655202489
"PLA2G4F"	1.41606620173626	3.5289061512565	197.815461919103	0.000927814799173803	0.0145060082439476	-3.03253870451799
"PTGFR"	1.91784375348253	2.93599712457203	221.281436312687	0.000930239286613514	0.0145282079514089	-3.03140532296343
"GTPBP10"	0.428023801330598	6.58238507853303	80.5933482330148	0.000969219551849199	0.0151043676280637	-3.01357783352073
"GUCY1A2"	0.240976020502029	8.20578264112712	39.6687147602916	0.000980903648470881	0.015269998454452	-3.00837365010477
"COL5A2"	0.93174636840451	4.49314027121258	133.340323714592	0.000986308681494028	0.0153376302707168	-3.00598714419733
"INSYN1"	0.541432356915093	5.9236148911989	104.572947890298	0.00099956741717945	0.0155271149164868	-3.00018790897796
"PLK2"	1.14965663604927	3.9773653299944	135.906411985264	0.00101442372094107	0.0157409826740877	-2.99378060394838
"SRRM4"	0.480311744969066	6.24839803657465	42.1358606421609	0.00102322608888112	0.0158247229751029	-2.9900283953153
"ICAM5"	0.87736291618424	4.63648941414017	164.630613560321	0.0010232340153874	0.0158247229751029	-2.99002503102989
"RPS21"	0.197636179937515	8.76219454580659	27.8340497275176	0.00102529148303633	0.0158247229751029	-2.98915265023915
"ZNG1A"	0.566142556519375	5.79362668740553	104.578744817932	0.00103267577559644	0.0159116805574549	-2.98603601049548
"TBC1D30"	0.751859863461114	5.03056409381017	120.45379382479	0.00104407495486705	0.0160632042524332	-2.98126832191169
"IMP4"	0.530665554404207	5.96725058717624	119.874823091083	0.00104877741385955	0.0161184048450975	-2.9793166740466
"KLHL8"	0.432307069856834	6.53505193274276	98.6957483207344	0.00105066221157225	0.0161302302587663	-2.97853688742533
"RNU5A-1"	1.07360647236357	4.12938501292627	58.4992929230242	0.0010615569540197	0.0162629625731281	-2.97405670036474
"RPS11"	0.19850488343011	10.3966656630203	14.782673463209	0.00108495184095994	0.0165687154424105	-2.96458953893023
"TENT5A"	0.456799748040415	6.36940538283443	104.255046631612	0.00110370655269598	0.016819603967428	-2.95714637903908
"RPS3"	0.165489233640818	9.63912728356221	14.6010661929005	0.00114536696994479	0.0173629948840058	-2.94105534521217
"KCNH6"	1.06237438341231	4.1348485072808	158.791800527111	0.0011603035353085	0.0175466713301356	-2.93542838450972
"PISD"	0.573047894417865	5.73231648439555	103.176333275808	0.00116112325148249	0.0175466713301356	-2.93512167811009
"MXI1"	0.432373984809733	6.50856724224078	89.1333343260086	0.00116822111740567	0.0176355050103557	-2.93247494748011
"DUSP6"	0.892888923047164	4.5594012883995	179.891181478253	0.00117936792949896	0.0177666864545978	-2.92835068614869
"RPS27"	0.17668634187134	9.87806839887334	14.4872340653219	0.00118513582888475	0.01783499933125	-2.92623187213946
"COASY"	0.435180666300854	6.48491562886016	62.7350615977079	0.00119599728549095	0.0179797429758525	-2.92226980604798
"MIPOL1"	0.468493168223821	6.27583295942733	94.894415522198	0.00121328961614586	0.0181829994079808	-2.91603551926456
"SEC23A"	0.302168277692186	7.5061420457275	48.9900649101502	0.00122560668795934	0.0183296007458821	-2.91164887782251
"STOM"	0.427058584883223	6.53039143112665	68.3967415478287	0.00122944160398871	0.0183419875146087	-2.91029209455256
"DCAF13"	0.444945496925835	6.41582028578105	59.275734467803	0.00123023979319392	0.0183419875146087	-2.91001022944604
"CCNG1"	0.217951565286178	8.4349890382723	33.5967693502457	0.00123887485538401	0.0184517076813219	-2.90697256155059
"PPA1"	0.26397101819573	7.88521579244947	45.5671882208859	0.00125185519203521	0.0185862068577236	-2.90244590510103
"CX3CL1"	1.18890343188101	3.85318407808902	193.214379511104	0.00125379863076474	0.0185862068577236	-2.90177220877656
"MRPL42"	0.261087017698641	7.91404501533559	49.061445779017	0.00126417376446732	0.0186937433350986	-2.89819322687434
"RPS9"	0.179838445312293	8.97719632660384	23.3093431601784	0.00128263813205685	0.0189280741487817	-2.89189585291425
"RPL11"	0.161653279564142	9.73604706627815	14.1973751503935	0.00129350713834082	0.0190498069614927	-2.88823117024587
"COQ8A"	0.46630746119608	6.27256004646371	85.3440833583513	0.00129483890493344	0.0190498069614927	-2.8877842601931
"PROB1"	0.895248250232343	4.53034119267626	177.150974664861	0.00129788918917591	0.0190752779002663	-2.88676238502699
"DUSP1"	0.495006516500002	6.10541549133374	88.8643559408758	0.00130471595479744	0.019156144302823	-2.88448402678637
"NPM3"	0.541399252703019	5.85686223993947	91.915427477497	0.00131507972065071	0.0192887250710453	-2.88104791927364
"ATP1B1"	0.39735793463129	6.71489371788373	80.4824099569364	0.00131700883718034	0.0192974486355645	-2.88041131089563
"ZNF704"	0.401091882567572	6.68765425184606	87.4548245653146	0.00132236670798995	0.0193563434523792	-2.8786480931316
"EIF3K"	0.274315155234564	7.76024770719388	53.8248733694454	0.0013302142028255	0.0194515245715494	-2.87607841947299
"SORD"	0.881042529011582	4.5609750811876	165.920716475421	0.00135222410845383	0.0196937211041886	-2.8689513254069
"IRX5"	0.56262777558989	5.74331378086979	126.634958009443	0.00136058178378479	0.0197756118161765	-2.86627534790926
"BTF3"	0.190769344078223	8.7906846926787	32.0446306287221	0.00136972672248318	0.0198572877850551	-2.86336607135174
"DMAC1"	0.456522478194796	6.31714900161803	85.728242742436	0.00137063637942816	0.0198572877850551	-2.86307774532234
"CDC42EP1"	1.24878506438424	3.72176856458602	213.541459900531	0.00137110020374469	0.0198572877850551	-2.86293080462468
"SLC6A15"	0.587073196312582	5.62312240080255	134.387680309744	0.00138508545415119	0.0200311058379344	-2.85852343156599
"TOX3"	0.854171458997913	4.61613850963169	149.298331678009	0.00149052232298054	0.0214700536204627	-2.82666151532094
"ESRP2"	0.474789584485847	6.18645417281012	100.642988850282	0.00149371828449724	0.0214946804282578	-2.82573130280507
"TWNK"	0.759917056281033	4.91535767846442	149.441945638384	0.00150257046230611	0.0216005706022574	-2.8231651528206
"MARS1"	0.261567879461592	7.86312358288842	43.3175188527285	0.0015080633909162	0.0216580067124429	-2.82158040266619
"PSMA5"	0.319694838941302	7.28953477934959	37.3430929288184	0.00152957934992667	0.0219234653703068	-2.81542798821745
"FNBP1L"	0.306180458555762	7.41036387615982	54.4420623002914	0.00153779017940703	0.0220193282916678	-2.81310291690263
"TOMM22"	0.325159627300372	7.23237882070083	51.469403803242	0.00158351270387703	0.0226515931982885	-2.80037844811047
"RNF185"	0.442168338276669	6.36642634026117	93.3210868645026	0.0015994764975132	0.0228122575020077	-2.79602213699614
"MTUS1"	0.467454646437998	6.21163698060025	101.574819273018	0.00160129502213648	0.0228156932119584	-2.79552864641787
