"logFC"	"logCPM"	"F"	"PValue"	"FDR"	"rank"
"TMBIM1"	0.844414907874581	7.37831205386772	421.695551646522	1.79634786205117e-14	4.05918480952876e-12	-13.7456095585704
"METTL7A"	0.835392532945684	8.61353583853319	405.354864715399	2.57791002091373e-14	5.73565149576222e-12	-13.5887322452846
"MARS2"	0.984387064987994	6.65333746517716	459.727643664838	2.82859119057308e-14	6.19804330273755e-12	-13.5484298155362
"TMEFF2"	1.2889053839444	7.10588599277238	391.695473449239	3.52468909529755e-14	7.60806771584972e-12	-13.4528791850986
"PRUNE2"	1.17464887817369	8.31323156931613	380.154519008056	4.6289401699103e-14	9.70199025177431e-12	-13.3345184325345
"HEBP2"	0.805851894128557	8.09734213913792	378.95812240429	4.76373005204616e-14	9.82282171252092e-12	-13.322052856809
"HOXB13"	0.775367751661294	7.37243026240117	378.448709944322	4.8224335609804e-14	9.82282171252092e-12	-13.3167337469497
"HOMER2"	1.05706574081209	6.43621594190471	460.345307415574	5.0378318734459e-14	1.01190450769131e-11	-13.2977563302188
"RGS2"	0.87772370588723	9.5335867988236	372.573860990368	5.56042561788096e-14	1.09944037547229e-11	-13.254891964457
"ARFGEF3"	0.794069235363978	8.87540484260131	372.096380457958	5.62568025065342e-14	1.09944037547229e-11	-13.2498249556623
"KRT18"	0.702739422429082	7.75702127819657	364.661335028148	6.75904998131204e-14	1.3033250777298e-11	-13.1701143420566
"CLDN4"	0.805353159509795	7.75395463112056	357.882909396292	8.01526237571176e-14	1.52522005891505e-11	-13.0960822566587
"CKB"	0.769850673230356	8.70839773028882	355.277182223014	8.56510160424441e-14	1.60216386685761e-11	-13.0672674808128
"VPS13A"	0.733817105389297	8.44581455553928	354.931237166592	8.64118252073668e-14	1.60216386685761e-11	-13.0634268215154
"IGFBP2"	0.772057052313288	7.69470086204574	349.812944135614	9.85861939525657e-14	1.80475131258482e-11	-13.0061838995621
"GALNT7"	0.689011492326055	8.03283825232021	349.025268073266	1.00622732225146e-13	1.81900744180007e-11	-12.9973038943826
"KIF12"	1.03934341308053	6.44415428222096	533.108179265355	1.05767599887744e-13	1.88840867848957e-11	-12.9756473506844
"DSEL"	0.991915324835195	6.65785034987334	346.359707953581	1.07867034680194e-13	1.90240616529874e-11	-12.9671112600801
"FOXRED1"	0.673317172518091	8.34022797060554	344.716089098533	1.12620167689378e-13	1.96230465677565e-11	-12.948383830338
"TNC"	2.14230997949915	4.69284864205555	664.097280271767	1.358681590454e-13	2.33919680489831e-11	-12.8668823090593
"GLUD1"	0.741856475068216	8.25250072742394	332.932407505541	1.54318304215732e-13	2.62558978302108e-11	-12.8115825577449
