"22Rv1-CCS1477-1"	"22Rv1-CCS1477-2"	"22Rv1-CCS1477-3"	"22Rv1-Control-1"	"22Rv1-Control-2"	"22Rv1-Control-3"
"KLHL13"	6.89531690373882	6.4823543141503	5.61786043886694	5.19795218413755	6.10748812089815	4.81107015417744
"ICA1"	62.5434378310958	61.7892496327517	61.7215600216848	64.5834058984878	63.0380023906987	66.7291518945262
"DBNDD1"	18.597932212197	21.1021321290425	19.4752495214054	19.0898243930715	18.2788394475452	21.0826570170865
"ALS2"	47.4417226405129	49.6520755977469	49.6618862795838	42.8256060480713	43.1014161674812	42.4391147746547
"CFLAR"	46.3734341061308	49.0659052608291	44.3810974670488	48.9435497692244	46.8967837854679	45.9985244009161
"TFPI"	31.7573046129943	34.9633365667468	31.9843520986158	61.0874380578289	54.5747688517399	52.8044285214598
"NDUFAF7"	20.3945992927486	19.6194659827208	19.1756302979992	20.2858133911917	20.6782097807552	19.166051833715
"RBM5"	96.194526664131	103.924552674729	100.934225884976	93.0571439691174	95.0150651951155	89.0243550480314
"MTMR7"	6.11837978782459	6.58579613831227	6.0672892739763	6.71593822021312	6.41286252694305	5.78892994161188
"SLC7A2"	47.150371222045	49.514153165531	48.3135997742557	90.9411634339818	89.6492006317549	92.6619934572875
"ARF5"	158.398054507014	147.059793350271	151.832041461111	134.18076567371	147.408588289392	141.828783569491
"SARM1"	17.5782022475595	19.9987526713147	19.1381778950734	18.4458303171607	19.2385875808292	19.8309964891704
"POLDIP2"	128.048948416615	115.51003698087	123.405667640444	116.516928163013	127.646501726771	129.233949507336
"PLXND1"	12.0425252966706	12.6199025477607	13.1083410240229	12.1438882886045	11.5606025145572	12.4774908876635
"AK2"	138.634716620946	130.336698444086	130.44671939049	160.032527863846	160.277938258427	163.107012544065
"FKBP4"	372.152878522918	346.530110942609	373.288099961245	462.755743118795	462.729474988333	460.454616707129
"KDM1A"	111.199124715225	108.786318410341	109.77299297546	109.340994174292	104.830671103702	104.005166991527
"RBM6"	90.3674982947743	92.3390683685877	90.9344343037929	87.4911951701737	79.8335947231686	79.6369010886608
"CAMKK1"	3.54477559135869	3.792866885939	4.11976432183576	6.99193568131777	7.19811099962996	7.62730634198863
"RECQL"	110.567863308544	102.821173217001	104.941632998034	72.725331001075	74.2496055840618	67.433210941479
"VPS50"	103.866780683784	96.3732995109047	101.570916734714	105.247031834573	105.877669067284	103.848709425538
"HSPB6"	4.56450555599612	3.72390566983102	4.56919315694511	7.54393060352707	8.28873387836177	9.0745388273916
"ARHGAP33"	11.993966726926	13.5508789652184	13.1083410240229	6.3939411822577	5.88936354515178	7.00147607803059
"NDUFAB1"	105.906240613059	98.717980858576	98.7245341123551	115.642936202848	123.371260042143	116.130628355714
"PDK4"	46.2763169666415	50.3072071507728	44.530907078752	48.3915548470151	44.192039046213	43.1040594301101
"ZMYND10"	6.06982121807995	7.10300525912213	6.96614694419501	2.48397714994184	2.00674609686653	2.50332105583217
"ARX"	0.679819976424954	0.620650944971837	0.93631007314449	1.47198645922479	1.57049694537381	1.0560885704292
"SLC25A13"	128.63165125355	123.647460481611	132.206982328002	120.932887540687	117.52552141214	117.577860841117
"ST7"	41.4204599921776	43.5834885802445	38.6508798194046	37.9496509018892	38.3899253313598	39.8966793273252
"CDC27"	157.766793100334	142.922120383792	148.760944421197	121.852879077702	119.837641915051	116.130628355714
"HCCS"	19.4234278978558	18.998815037749	20.0744879682179	19.3198222773254	22.5104562170246	20.8479706681023
"DVL2"	130.865345461804	128.543706825278	136.21438944106	92.6431477774605	90.783448425636	101.032473237726
"PRSS22"	1.31108138310527	0.965457025511746	0.749048058515592	1.14998942126937	0.87249830298545	1.36900370240822
"UPF1"	84.3947942161836	86.7187292557872	90.3351958569804	75.5313051889722	78.3067226929441	86.4428052092045
"SKAP2"	93.5238053281758	101.269545854571	98.7619865152808	88.3651871303384	84.9377097956335	81.7099638380218
"SLC25A5"	363.07242598067	361.667097878311	353.176159590102	362.982660929464	374.738021132251	348.391885067142
"MCUB"	56.0365894853141	49.617594989693	52.0962924697594	43.515599700833	39.4805482100916	41.8915132936914
"POLR2J"	40.8377571552419	41.2043266245192	41.1976432183576	34.9596784065888	34.3764331376267	35.6723250456084
"DHX33"	30.7861332181015	31.0670278566458	30.4862559815846	37.2136576722768	35.7288055072542	35.8287826115979
"LIG3"	77.9365044401465	82.1672889926604	86.0281695205158	94.9431266199992	89.9981999529491	94.578598640659
"RPAP3"	75.5571345226592	72.167912657003	72.3205900496804	68.8613665456099	71.893860166001	64.225830838694
"ACSM3"	13.6935166679884	12.4474995074907	12.7712693976908	33.8096889853195	37.4738021132251	34.3815501261949
"REXO5"	85.7544341690335	81.2707931832566	84.3428113888557	70.2413538511331	64.3031249300276	66.3380079795524
"CIAPIN1"	68.6618176189204	60.4789865267001	62.0586316480168	69.2753627372669	71.0649867781649	76.2339490283889
"SPPL2B"	47.4417226405129	48.3418124916953	47.9390757449979	37.5356547102322	44.0611643007652	43.612546519576
"ATOSB"	20.7345092809611	24.6536347586035	22.2092749349873	29.2557308770928	27.0910723076982	27.4191884396617
"COPZ2"	2.28225277799806	2.99981290069721	3.37071626332017	1.79398349718022	1.87587135141872	2.38597788134003
"PRKAR2B"	46.8104612338326	45.0661547265661	43.4447873939044	78.2452802231679	79.3973455716759	81.1623623570585
"MSL3"	22.2883835127896	21.5503800337443	21.5351316823233	27.7377448410172	29.8394419621024	28.9446497080594
"CREBBP"	36.8073958664368	47.5142778983995	39.8119043101037	35.6036724824997	33.7656843255369	34.4597789091897
"TSPOAP1"	70.1185747112596	75.6159734624021	73.7812337637858	57.7294689477224	59.1117600272642	60.8619931699196
"PON1"	18.0152293752613	16.1714051773217	15.5801996171243	49.219547230329	51.390150045843	50.4966794231145
"GCFC2"	55.502445218123	53.6863067400639	53.1824121546071	65.7333953197572	62.1655040877133	60.9402219529143
"WDR54"	27.9211776031678	31.6876788016177	27.7896829709285	20.837808313401	21.288958592845	20.1830260126468
"CROT"	55.7452380668462	56.0654686957893	54.380889048232	107.225013639156	101.558802467506	95.0088569471302
"ABCB4"	2.0880184990195	1.99987526713147	2.24714417554678	4.36995980082361	3.4899932119418	2.93357936230332
"KMT2E"	73.0806474656826	78.8571506194773	73.2569001228249	86.9851998248152	70.5414877963736	71.3837644827141
"RHBDD2"	68.7589347584097	69.9956343496016	69.5865646360985	54.4634989913174	57.1486388455469	63.1697422682648
"IBTK"	166.653011363603	162.576066974567	163.404833965176	189.288258740938	192.734875129486	179.104798666492
"ZNF195"	38.9439729352009	35.9977548083665	39.6995471013264	46.6435709266857	49.3834039489764	42.1653140341731
"MYCBP2"	151.939764730977	166.05860838802	162.655785906661	179.720346755977	156.613445385888	164.436901854975
"FBXL3"	88.1338040865208	77.7537711617496	84.1555493742268	63.5714152077708	68.5347416995071	59.9232477739825
"ITGAL"	1.99090135953022	1.82747222686152	2.50931099602723	1.65598476662789	1.65774677567235	1.9166051833715
"PDK2"	14.4704537839026	16.2403663934297	12.584007383062	10.9478992904844	9.07398235104868	10.7955720532762
"ITGA3"	24.2307263025752	24.7570765827655	24.3440619017567	19.5498201615793	20.5473350353073	22.4516607194947
"ZFX"	88.8621826326904	86.6842486477332	88.6498377253204	88.8711824756969	88.384078092426	83.1180819319274
"LAMP2"	144.704537839026	146.714987269731	140.521415777525	134.962758480173	137.636607295955	132.636901567607
"ITGA2B"	3.54477559135869	3.792866885939	3.03364463698815	1.97798180458332	1.91949626656799	1.95571957486888
"GDE1"	104.498042090464	100.097205180736	95.8781514899958	99.7730821893306	101.907801788701	102.597048897621
"REX1BD"	56.5707337525051	55.6172207910874	60.2609163075794	56.7634778338561	62.2963788331611	63.4435430087465
"CRLF1"	2.13657706876414	2.48260377988735	1.79771534043742	3.03597207215114	2.70474473925489	2.58154983882692
"TMEM98"	24.1336091630859	23.5502553008758	25.3927291836786	14.9498624765018	16.4465930112757	15.5675278159563
"YBX2"	19.5205450373451	20.2745975357467	18.9134634775187	19.8258176226839	16.9264670779177	18.853136701736
"MAP3K14"	8.98333540275832	10.4821048484132	11.1982684748081	8.69392002479644	11.3424779388108	11.1476015767526
"TMEM132A"	40.3521714577955	41.962900001707	42.4335725149083	44.3895916609977	45.9370356521839	53.352030002423
"AP2B1"	115.763630271221	134.853658099159	122.806429193631	123.50886384433	118.049020393931	112.375646771966
"ZNF263"	50.0638854067234	45.9281699279159	47.9765281479237	50.6455341127031	51.0847756397981	56.1291517987369
"CX3CL1"	6.26405549705851	7.2064470832841	6.21709888567942	15.0878612070541	15.6613445385888	14.5505536370245
"SPATA20"	177.335896707424	166.024127779966	177.824009091602	194.532210501927	206.607598146954	207.188931761609
"TNFRSF12A"	13.4507238192652	14.9645838954321	14.9435087673861	15.8238544366665	18.1479647020974	18.3837640037675
"MAP3K9"	40.2550543183062	43.2042018916506	40.2238807422873	37.3976559796799	32.9368109377007	34.9291516071582
"RALA"	58.8044279607585	63.2719157790734	58.7628201905482	56.1194837579453	58.3265115545773	55.7380078837631
"BAIAP2L1"	46.2763169666415	46.0316117520779	44.6058118846035	42.687607317519	42.1852929493465	44.2383767835341
"KDM7A"	46.0335241179183	53.375981267578	53.5943885867906	59.845449482858	60.1587579908467	58.2413289395952
"ETV1"	38.4583872377546	41.3422490567351	41.3100004271349	45.8155785433717	46.4605346339752	41.9697420766862
"AGK"	77.4023601729555	75.0642837335383	77.9384504885474	70.1033551205808	68.2729922086114	63.1697422682648
"ALDH3B1"	14.421895214158	15.7231572726199	14.2319131117963	18.3078315866084	18.0170899566495	18.8922510932334
"PHTF2"	147.957962011917	159.852098938302	154.116638039583	128.108821529408	115.780524806169	102.597048897621
"FARP2"	58.9015451002478	61.8926914569137	55.916437568189	55.4754896820344	56.1452657971137	54.0560890493758
"GGCT"	146.258412070854	136.68113032602	138.686248034162	146.186655231762	151.72745488917	141.007381348046
"DBF4"	93.912273886133	85.7187916222215	87.3764560258438	88.0891896692337	86.769956231903	81.5143918805349
"TBXA2R"	1.94234278978558	2.03435587518547	1.76026293751164	1.83998307403099	2.05037101201581	2.15129153235577
"IFRD1"	89.7847954578386	86.1325589188693	90.1853862452773	91.5391579330419	105.52866974609	99.3114400118417
"COX10"	11.5083810294796	12.2406158591668	12.8087218006166	16.4218489357266	15.8358441991859	15.1372695094851
"GTF2IRD1"	19.5205450373451	18.3092028766692	18.7636538658156	15.3638586681588	13.4364738659759	16.1151292969196
"PAF1"	104.692276369443	105.131373956618	106.439729115066	74.565314075106	75.4274782930921	78.5025837352369
"VPS41"	180.006618043379	185.436710114363	180.707844116887	174.52239457184	168.086798070147	165.492990425405
"ARHGAP44"	15.49018374854	12.9302280202466	15.5052948112728	10.5799026756782	9.72835607828776	10.9129152277684
"ELAC2"	113.724170341946	106.200272806292	109.435921349128	114.354948051026	115.169775994079	118.321034279567
"SCIN"	25.8331591041483	23.7916195572537	23.8197282607958	60.4894435587689	64.5648744209233	64.8516611026521
"ARSD"	42.3916313870704	42.7214733788948	45.7668363753027	42.5956081638175	43.6685400644217	43.8081184770629
"PNPLA4"	16.4127965736882	15.6541960565119	15.9921760493079	18.2618320097576	19.2822124959784	18.4228783952648
"ADIPOR2"	128.874444102273	130.784946348788	125.877526233545	112.422965823294	110.894534309451	111.202215027045
"CDKL3"	1.94234278978558	1.99987526713147	2.28459657847256	1.88598265088177	2.13762084231435	1.72103322588461
"PRSS21"	22.5311763615128	23.8605807733617	22.9957753964287	26.8637528808525	30.0139416226995	29.5704799720175
"MARK4"	9.27468682122616	10.0683375517654	8.91367189633555	8.87791833219954	8.20148404806323	7.66642073348601
"CCDC124"	47.83019119847	45.755766887646	48.5383141918104	44.4355912378485	46.1987851430796	47.4848712778164
